slice	item	severity	disposition	title
01-handoff	F1	P1	COVERED CDT-266	handoff.md 12096B > 12000 cap; detached-stub-test red; handoff tests not in CI (CI part: CDT-269)
01-handoff	F2	P2	CREATED CDT-316	assemble.py multi-line event text forges ## sections, truncates cold core (+ git-blob fence)
01-handoff	F3	P2	COVERED CDT-266	undeclared jq in commands/handoff.md aborts silently under set -e
01-handoff	F4	P2	CREATED CDT-323	discover-warm cwd-newest uses s|/|-|g encoding; fails for . / _ paths
01-handoff	F5	P1	CREATED CDT-302	detached/light agent has no concrete finalize invocation (+ SPINE= never printed)
01-handoff	F6	P2	CREATED CDT-328	stale/contradictory Step N references across SKILL/LIGHT/prepass/tests/SPEC-018
01-handoff	F7	P2	COVERED CDT-291	LIGHT.md ~85% verbatim dup of SKILL.md; SKILL M10c dead; summary rule x3
01-handoff	F8	P2	CREATED CDT-337	HOST read from warm bridge on cold -> wrong miner tier
01-handoff	F9	P2	CREATED CDT-346	SKILL git capture recipe lacks git -C (wrong repo on cold)
01-handoff	F10	P2	COVERED CDT-293	tests validate hand-copied PYDELTA/since-leaf clones, not the command
01-handoff	F11	P3	CREATED CDT-366	vacuous assertions: AC13 WARN=ok, detached-stub --help tautology, set -u (grep -qv + ac1 covered by CDT-293)
01-handoff	F12	P3	CREATED CDT-375	fixed ${TMPDIR:-/tmp}/handoff.err clobber/symlink target
01-handoff	F13	P3	CREATED CDT-385	set -- $ARGUMENTS globs; --slug accepts following flag
01-handoff	F14	P3	CREATED CDT-395	generic $SESSION_ID env trusted as live session id
01-handoff	F15	P3	CREATED CDT-396	docs cache-HIT sample order/wording differs from command
01-handoff	F16	P3	CREATED CDT-397	WORK_DIR spine copy and Grok temp JSONL leak
01-handoff	F17	P3	CREATED CDT-398	runbook stale refs (cache 1.0.3, feat/CDT-79, feat/CDT-92)
01-handoff	F18	P3	COVERED CDT-285	GNU-only sha256sum/touch -d/find -printf in handoff tests (sha256 shim: CDT-284)
01-handoff	F19	P3	CREATED CDT-399	prepass assemble.py --help soft-detect + PDH find instead of $SCRIPT_DIR/..
01-handoff	F20	P3	CREATED CDT-409	resolve-root.sh nested-write guard dead / allows ~/.claude/.claude
01-handoff	F21	P3	COVERED CDT-295	skill and command share name handoff; no user-invocable:false
01-handoff	E1	High	COVERED CDT-269	handoff CI job looping skills/handoff/*-test.sh
01-handoff	E2	High	COVERED CDT-291	shared miner-prompt.md for SKILL/LIGHT; delete M10c
01-handoff	E3	High	MERGED F5/CDT-302	canonical Finalize (copy verbatim) block + static flag test
01-handoff	E4	High	MERGED F2/CDT-316	sanitize newlines in rendered strings + regression test
01-handoff	E5	Med-High	COVERED CDT-266	replace jq with one python3 helper (MODE SLA ET HOST); F8 cold-HOST logic filed as CDT-337
01-handoff	E6	Med	COVERED CDT-293	skills/handoff/test-lib.sh shared harness; tests execute extracted command code
01-handoff	E7	Low-Med	COVERED CDT-293	remove merged-miner-ac1 test + fix grep -qv
01-handoff	E8	Med	CREATED CDT-419	hermetic handoff tests (resolve-root T7a HOME, mirror-spine pwd); portability part COVERED CDT-285
01-handoff	E9	Med	COVERED CDT-290	extract PreCompact hook templates so precompact T11b-T13 run
01-handoff	E10	Low-Med	MERGED F16/CDT-397	cleanup contract for WORK_DIR and Grok temp
01-handoff	E11	Med	MERGED F6/CDT-328	static Step-reference lint
01-handoff	PF1	P3	CHECKLIST CDT-280	SKILL/LIGHT contradictions: "one Task" diagram L67-68, haiku vs inherit LIGHT L223/235 vs L230, SKILL L117 "verbatim" vs prefix-collapse; unused parent discover-warm L282
01-handoff	PF2	P3	CHECKLIST CDT-280	precompact-capture sort -r lexicographic retention L165; prepass int(HANDOFF_SPINE_TOKENS) traceback L1181; exit 2 missing from table L83-87; git-state.txt fixture unrealistic
02-specs	F1	P1	COVERED CDT-266	handoff.md 12096B > 12000 cap + router-static T10 red; suites not in CI (CI part: CDT-269)
02-specs	F2	P1	CREATED CDT-301	Fold SPEC-028 into SPEC-014; premise agent debugger; drop stub MUSTs
02-specs	F3	P1	CREATED CDT-304	Spec status reconciliation pass
02-specs	F4	P1	COVERED CDT-273	SPEC-008 rules not mechanically enforced (check-format not in CI/release)
02-specs	F5	P2	CREATED CDT-314	~30 dead file references in spec bodies + TDD index
02-specs	F6	P2	CREATED CDT-318	SPEC-009:197 INSERT OR REPLACE vs append-only
02-specs	F7	P2	CREATED CDT-326	SPEC-037 effort half superseded but MUST; no-op --effort; 8 vs 10 names
02-specs	F8	P2	CREATED CDT-333	--autopilot=master lands without /release vs AGENTS.md
02-specs	F9	P2	COVERED CDT-297	SPEC-022 M4 cwd-relative doctor fix-its
02-specs	F10	P2	COVERED CDT-270	Spec-cited test suites failing (friction-capture, scheduled-retro, root chmod, workflow-probe)
02-specs	F11	P2	CREATED CDT-342	SPEC-005:60 EXAMPLE status vs scaffold DRAFT
02-specs	F12	P2	CREATED CDT-352	SPEC-016:140 cites non-existent AGENTS.md parallel-worktree rule
02-specs	F13	P2	CREATED CDT-361	SPEC-002 stanza 4 tiers vs 5 arms; no v1.18.14 row
02-specs	F14	P2	CREATED CDT-371	Editorial sweep of stale ticket-era statements
02-specs	F15	P3	CREATED CDT-382	Sort Version History tables; backfill TDD rows
02-specs	F16	P3	COVERED CDT-294	Deprecated specs SPEC-019/027 not cleaned up (struck demo MUSTs in CDT-314)
02-specs	F17	P3	CREATED CDT-391	Normalize spec structure / Covers placement
02-specs	F18	P3	COVERED CDT-292	Tests coupled to spec prose
02-specs	F19	P3	CREATED CDT-403	SPEC-001/AGENTS.md exempt only 2 of 5 non-behavioral agents
02-specs	F20	P3	COVERED CDT-292	SPEC-002 size / ticket forensics -> docs/adr
02-specs	F21	P3	CREATED CDT-413	Smaller wording issues (SPEC-025 L5/M7, SPEC-003:112, SPEC-026 ds)
02-specs	SPEC-013-row	Issue	CREATED CDT-423	SPEC-013:714 finder shared with /debug ticket vs SPEC-003:46
02-specs	E1	High	COVERED CDT-273	spec-lint gate
02-specs	E2	High	COVERED CDT-269	Run every spec-cited test suite in CI (root-safe skip: CDT-270)
02-specs	E3	Med	MERGED F3/CDT-304	Status reconciliation + promotion rule
02-specs	E4	Med	COVERED CDT-294	Archive deprecated specs
02-specs	E5	Med	COVERED CDT-292	Split rationale out of specs into docs/adr
02-specs	E6	Med	CHECKLIST CDT-283	Covers-driven drift advisory in /release (issue limit; also noted in CDT-391)
02-specs	E7	Low-Med	MERGED F14/CDT-371	Last verified header field
02-specs	E8	Low	COVERED CDT-292	Decouple tests from spec prose
03-council	F-1	P1	CREATED CDT-325	Phase 7 feedback memory not implemented but documented
03-council	F-2	P1	CREATED CDT-303	Judge output not validated; BOGUS/blob-less verdicts reach index
03-council	F-3	P1	CREATED CDT-317	requires_council gate passes on FABRICATED/CONTRADICTED high confidence
03-council	F-4	P1	CREATED CDT-330	jaded-senior Phase 2 investigator told it cannot use tools
03-council	F-5	P1	CREATED CDT-339	workflow.js Borda attributes votes to wrong bundles
03-council	F-6	P1	CREATED CDT-349	Workflow fabricates self-verify bundles, bypassing exit 5
03-council	F-7	P1	CREATED CDT-360	--blind reviews wrong tree / nothing from worktree
03-council	F-8	P1	COVERED CDT-284/CDT-285	index-writer local -n + flock; tier-grade declare -A (macOS)
03-council	F-9	P1	CREATED CDT-370	tier-grade suppresses signal 4 for content-only deletions
03-council	F-10	P2	CREATED CDT-380	Blind/auditor roles run as memory-loading write-capable agents
03-council	F-11	P2	CREATED CDT-390	Array-shaped judge output crashes finalize after index write
03-council	F-12	P2	CREATED CDT-401	Dict brief crashes finalize (exit 1)
03-council	F-13	P2	CREATED CDT-411	Task path never passes Phase 2.5 results to finalize
